code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
6257,33,188,true,【パチンコ・パチスロ機】ホラーがモチーフの機種に強み。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,藤商事,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
6430,33,188,true,【パチンコ業界向け情報システム】ホール運営用システムに強み。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ダイコク電機,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
2767,33,188,true,【パチンコ・パチスロ販売】企画開発も手掛ける。版権事業進出。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,フィールズ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
6428,33,188,true,【遊技場機器】メダル計数器や両替機、カードシステム開発。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,オーイズミ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
7612,33,188,true,【コンテンツ企画・制作】パチンコ関連にシフト。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,Ｎｕｔｓ,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売 ,0,
6436,33,189,true,【就業情報システム最大手】ソフト・ソリューション分野へも展開。,事務機器,2,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,アマノ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
6287,33,189,true,【自動認識システム総合メーカー】バーコードやRFID手掛ける。,事務機器,2,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,サトーホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
6465,33,190,true,【業務用製氷機国内トップ】業務用冷蔵庫にも強み。直販が特色。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ホシザキ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
5982,33,190,true,【業務用厨房大手】熱機器が主力。自社製品比率5割強。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,マルゼン,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,0,
5965,33,190,true,【業務用厨房大手】ホテル、レストラン、レジャー施設に広く納入。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,フジマック,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,0,
5903,33,190,true,【無煙ロースター専業】全国トップ。据え付け工事も手掛ける。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,シンポ,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,0,
9930,33,190,true,【業務用厨房機器販売の大手】全国に直営販売網。不動産賃貸も。,業務用厨房機器,6,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,北沢産業,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
